1,2,3,4,5,6,7,8,9,10
Carlos Zambrano,135490519,False,True,StarScream1007,UNKNOWN,Stats,career,"Zambrano was called up to the Cubs and pitched in his first game on August 20, 2001, starting against the Milwaukee Brewers at Wrigley Field in the second game of a double header.","Zambrano was called up to the Cubs and pitched in his first game on August 20, 2001, starting against the Milwaukee Brewers at Wrigley Field in the second game of a double header."
Military Professional Resources Inc.,372229399,False,True,Srich32977,UNKNOWN,recently,has,"MPRI recently used retired military, and current national guard or reservists, to run R.O.T.C. programs at more than 200 universities.","MPRI has used retired military, and current national guard or reservists, to run R.O.T.C. programs at more than 200 universities."
Military Professional Resources Inc.,372229399,False,True,Srich32977,UNKNOWN,Government.,Government to provide driver simulation.,"Now, MPRI contracts to both local police forces and the U.S. Government.",MPRI contracts to both local police forces and U.S. Government to provide driver simulation.
Fashionable Nonsense,3421650,False,True,David.Monniaux,UNKNOWN,thesis,argumentation,"The book was criticized by many as a rather gratuitous attack of the ""hard sciences"" on the ""soft sciences"".",A natural accusation against Sokal and Bricmont was that they had hidden political objectives.
Fashionable Nonsense,19246777,False,True,Zumbo,UNKNOWN,Indeed,They accuse,"Indeed, Sokal, Bricmont and many of their supporters have difficulty distinguishing between the claim that scientific work is socially grounded and a belief that scientific hypotheses are arbitrary.","They accuse Sokal, Bricmont and many of their supporters of not properly distinguishing between the claim that scientific work is socially grounded and a belief that scientific hypotheses are arbitrary."
Church of Ireland,4866921,False,True,Gerry Lynch,UNKNOWN,Protestant,Anglican,"The Primate of All Ireland is the Archbishop of Armagh, whose seat in the mediaeval cathedral in the city.","The Primate of All Ireland is the Archbishop of Armagh, whose seat in the mediaeval cathedral in the city."
Church of Ireland,252751956,False,True,Mooretwin,UNKNOWN,denied,disputed,"The Church of Ireland claims Apostolic succession because of the continuity in the hierarchy; however, this is denied by the Catholic Church.","The Church of Ireland claims Apostolic succession because of the continuity in the hierarchy; however, this is disputed by the Roman Catholic Church."
Church of Ireland,396298670,False,True,Laurel Lodged,UNKNOWN,followed.,did so.,Relatively few parish clergy or laity followed.,"When the church in England broke communion from the Roman Catholic Church, all but two of the bishops of the Church in Ireland followed the Church of England, although almost no clergy or laity did so."
Church of Ireland,429611780,False,True,Laurel Lodged,UNKNOWN,denomination.,tradition.,"Today the Church of Ireland is, after the Roman Catholic Church, the second largest Christian grouping on the island of Ireland and the largest Protestant denomination.","Today the Church of Ireland is, after the Roman Catholic Church, the second largest denomination on the island of Ireland and the largest Protestant tradition."
Church of Ireland,429611780,False,True,Laurel Lodged,UNKNOWN,institution,church,The Church of Ireland came into existence as a reformed institution independent of the Roman Catholic Church in 1536 when the Irish Parliament declared Henry VIII to be the Supreme Head of the Church on earth (i.e. Head of the Church of Ireland).,The Church of Ireland came into existence as a reformed church independent of the Roman Catholic Church in 1536 when the Irish Parliament declared Henry VIII to be the Supreme Head of the Church on earth (i.e. Head of the Church of Ireland).
